time,open,high,low,close,tick_volume,spread,real_volume
2022-08-02 14:00:00,1.02267,1.02426,1.0219,1.02235,9658,5,0
2022-08-02 15:00:00,1.02235,1.02326,1.02065,1.02116,13482,4,0
2022-08-02 16:00:00,1.02117,1.02358,1.0202,1.02069,20913,5,0
2022-08-02 17:00:00,1.02068,1.02117,1.01809,1.01997,24867,5,0
2022-08-02 18:00:00,1.01996,1.0213,1.01908,1.01959,14078,5,0
2022-08-02 19:00:00,1.01959,1.02103,1.01915,1.01948,8590,5,0
2022-08-02 20:00:00,1.01948,1.01959,1.01707,1.01838,7800,5,0
2022-08-02 21:00:00,1.01837,1.01893,1.01721,1.01727,7171,5,0
2022-08-02 22:00:00,1.01727,1.01804,1.01681,1.01688,4926,5,0
2022-08-02 23:00:00,1.01688,1.01697,1.01633,1.01645,1370,5,0
2022-08-03 00:00:00,1.01644,1.01649,1.01615,1.01622,148,30,0
2022-08-03 01:00:00,1.01622,1.01712,1.01622,1.0164,3507,5,0
2022-08-03 02:00:00,1.01639,1.01658,1.01543,1.01562,2988,5,0
2022-08-03 03:00:00,1.01562,1.0164,1.015,1.01579,6075,5,0
2022-08-03 04:00:00,1.0158,1.0171,1.01567,1.01706,6175,5,0
2022-08-03 05:00:00,1.01706,1.01821,1.01686,1.01803,4726,5,0
2022-08-03 06:00:00,1.01803,1.01936,1.01771,1.01913,4675,5,0
2022-08-03 07:00:00,1.01913,1.0193,1.0181,1.01859,4465,5,0
2022-08-03 08:00:00,1.01858,1.01868,1.01742,1.0176,3665,4,0
2022-08-03 09:00:00,1.0176,1.018,1.01539,1.01594,8676,5,0
2022-08-03 10:00:00,1.01594,1.01912,1.0159,1.01769,16207,4,0
2022-08-03 11:00:00,1.0177,1.0189,1.0177,1.01875,9811,4,0
2022-08-03 12:00:00,1.01875,1.01977,1.01811,1.0186,8955,4,0
2022-08-03 13:00:00,1.01861,1.02003,1.01785,1.01875,10930,4,0
2022-08-03 14:00:00,1.0187599999999999,1.02103,1.018,1.01839,10829,5,0
2022-08-03 15:00:00,1.01839,1.01967,1.01798,1.01858,11979,5,0
2022-08-03 16:00:00,1.01857,1.01874,1.01654,1.01699,11742,4,0
2022-08-03 17:00:00,1.01699,1.01699,1.01251,1.013,30168,5,0
2022-08-03 18:00:00,1.01301,1.01464,1.01224,1.01443,12552,4,0
2022-08-03 19:00:00,1.01444,1.01665,1.01399,1.01499,9427,5,0
2022-08-03 20:00:00,1.01499,1.01599,1.01482,1.01575,3964,5,0
2022-08-03 21:00:00,1.01575,1.01603,1.01492,1.01546,4407,5,0
2022-08-03 22:00:00,1.01547,1.01738,1.01539,1.01682,4608,5,0
2022-08-03 23:00:00,1.01682,1.0172,1.01616,1.01621,2477,5,0
2022-08-04 00:00:00,1.01621,1.01683,1.01566,1.01678,219,31,0
2022-08-04 01:00:00,1.01698,1.01698,1.0155,1.01616,3584,5,0
2022-08-04 02:00:00,1.01616,1.01623,1.01564,1.01565,1759,5,0
2022-08-04 03:00:00,1.01565,1.01662,1.01541,1.0165,5139,5,0
2022-08-04 04:00:00,1.01649,1.0176,1.0161,1.01689,5097,5,0
2022-08-04 05:00:00,1.01689,1.01728,1.01614,1.01645,2395,5,0
2022-08-04 06:00:00,1.01645,1.01705,1.01601,1.01626,2015,5,0
2022-08-04 07:00:00,1.01626,1.01674,1.0161,1.0164,2290,5,0
2022-08-04 08:00:00,1.01639,1.01737,1.01616,1.01627,3120,5,0
2022-08-04 09:00:00,1.01628,1.01724,1.01563,1.01679,7335,5,0
2022-08-04 10:00:00,1.01678,1.01862,1.01663,1.01788,11370,5,0
2022-08-04 11:00:00,1.01788,1.0194,1.01742,1.01915,8631,4,0
2022-08-04 12:00:00,1.01915,1.01978,1.01855,1.01883,7919,4,0
2022-08-04 13:00:00,1.01883,1.0196,1.01851,1.01921,7280,4,0
2022-08-04 14:00:00,1.01919,1.01957,1.01601,1.01759,20415,4,0
2022-08-04 15:00:00,1.01759,1.0195,1.01653,1.01879,17191,5,0
2022-08-04 16:00:00,1.0188,1.01963,1.01731,1.01915,16845,4,0
2022-08-04 17:00:00,1.01915,1.0212,1.0186,1.02115,16071,5,0
2022-08-04 18:00:00,1.02116,1.02339,1.02059,1.0222,13157,5,0
2022-08-04 19:00:00,1.0222,1.02393,1.0218,1.02365,7878,5,0
2022-08-04 20:00:00,1.02364,1.02425,1.02304,1.02372,4738,5,0
2022-08-04 21:00:00,1.02372,1.02503,1.02363,1.02497,4576,5,0
2022-08-04 22:00:00,1.02497,1.02538,1.02439,1.02453,3731,5,0
2022-08-04 23:00:00,1.02452,1.02471,1.02414,1.02444,1389,5,0
2022-08-05 00:00:00,1.02444,1.02468,1.02435,1.02447,363,13,0
2022-08-05 01:00:00,1.0245,1.02478,1.02412,1.02478,1503,5,0
2022-08-05 02:00:00,1.02478,1.02519,1.02458,1.02471,1896,5,0
2022-08-05 03:00:00,1.02472,1.02481,1.02312,1.02321,4057,5,0
2022-08-05 04:00:00,1.02321,1.02385,1.02294,1.02331,4269,5,0
2022-08-05 05:00:00,1.02331,1.02364,1.02293,1.02339,2801,4,0
2022-08-05 06:00:00,1.02339,1.02395,1.02333,1.02364,2108,5,0
2022-08-05 07:00:00,1.02363,1.02389,1.02336,1.02349,2396,5,0
2022-08-05 08:00:00,1.02349,1.02365,1.02273,1.02312,3252,4,0
2022-08-05 09:00:00,1.02312,1.02371,1.02224,1.02356,5315,5,0
2022-08-05 10:00:00,1.02356,1.02392,1.02263,1.02334,7308,5,0
2022-08-05 11:00:00,1.02333,1.02375,1.02182,1.02236,7446,5,0
2022-08-05 12:00:00,1.02236,1.02316,1.02222,1.02285,5532,5,0
2022-08-05 13:00:00,1.02285,1.02361,1.02256,1.02358,5701,5,0
2022-08-05 14:00:00,1.02358,1.02384,1.02286,1.0231,6061,5,0
2022-08-05 15:00:00,1.0231,1.02363,1.01539,1.01576,31003,5,0
