time,open,high,low,close,tick_volume,spread,real_volume
2022-08-01 00:00:00,1.02083,1.02173,1.02083,1.02162,66,34,0
2022-08-01 00:15:00,1.02162,1.02199,1.0216,1.02175,67,53,0
2022-08-01 00:30:00,1.02179,1.02197,1.02171,1.02185,55,57,0
2022-08-01 00:45:00,1.02185,1.0221,1.02154,1.02194,89,41,0
2022-08-01 01:00:00,1.02194,1.02236,1.02112,1.02133,1268,13,0
2022-08-01 01:15:00,1.02133,1.02145,1.02066,1.0214,746,18,0
2022-08-01 01:30:00,1.0214,1.02166,1.02123,1.02149,530,22,0
2022-08-01 01:45:00,1.02159,1.02174,1.02124,1.02148,457,5,0
2022-08-01 02:00:00,1.02148,1.02165,1.02125,1.02159,484,5,0
2022-08-01 02:15:00,1.0216,1.02161,1.0208,1.02089,427,5,0
2022-08-01 02:30:00,1.02088,1.02115,1.02056,1.0207,505,5,0
2022-08-01 02:45:00,1.0207,1.02101,1.02055,1.02101,501,5,0
2022-08-01 03:00:00,1.02101,1.02173,1.02075,1.02159,1507,5,0
2022-08-01 03:15:00,1.02159,1.0226,1.02159,1.02235,2032,5,0
2022-08-01 03:30:00,1.02236,1.02239,1.02164,1.02216,1625,5,0
2022-08-01 03:45:00,1.02216,1.02233,1.0215,1.02201,1949,5,0
2022-08-01 04:00:00,1.02201,1.02329,1.02153,1.02322,2464,5,0
2022-08-01 04:15:00,1.02322,1.02343,1.0229,1.02327,2288,5,0
2022-08-01 04:30:00,1.02328,1.02402,1.02304,1.02362,1732,5,0
2022-08-01 04:45:00,1.02362,1.02389,1.02304,1.02326,1718,5,0
2022-08-01 05:00:00,1.02326,1.02375,1.02315,1.02353,1057,5,0
2022-08-01 05:15:00,1.02353,1.02391,1.02336,1.02386,1097,5,0
2022-08-01 05:30:00,1.02386,1.02412,1.02369,1.02396,1017,5,0
2022-08-01 05:45:00,1.02397,1.02405,1.02366,1.02396,924,5,0
2022-08-01 06:00:00,1.02396,1.02402,1.02292,1.02304,1300,5,0
2022-08-01 06:15:00,1.02304,1.02304,1.02247,1.02276,1185,5,0
2022-08-01 06:30:00,1.02277,1.02289,1.02248,1.02287,597,5,0
2022-08-01 06:45:00,1.02287,1.02287,1.02235,1.02255,711,5,0
2022-08-01 07:00:00,1.02255,1.02256,1.02205,1.02222,699,5,0
2022-08-01 07:15:00,1.02222,1.02293,1.02221,1.02276,745,5,0
2022-08-01 07:30:00,1.02276,1.02313,1.0227,1.02285,633,5,0
2022-08-01 07:45:00,1.02285,1.02291,1.02219,1.02237,737,5,0
2022-08-01 08:00:00,1.02238,1.02254,1.02214,1.02224,592,5,0
2022-08-01 08:15:00,1.02224,1.02245,1.02221,1.02235,603,5,0
2022-08-01 08:30:00,1.02235,1.02245,1.02188,1.02204,714,5,0
2022-08-01 08:45:00,1.02204,1.02241,1.02133,1.0216,1277,5,0
2022-08-01 09:00:00,1.0216,1.02228,1.02151,1.02203,1686,5,0
2022-08-01 09:15:00,1.02203,1.02228,1.02132,1.02179,1419,5,0
2022-08-01 09:30:00,1.02179,1.02268,1.02157,1.02266,2111,5,0
2022-08-01 09:45:00,1.02266,1.02408,1.02264,1.02333,2814,5,0
2022-08-01 10:00:00,1.02332,1.02367,1.02276,1.02328,3153,5,0
2022-08-01 10:15:00,1.02328,1.02404,1.02268,1.02278,2761,5,0
2022-08-01 10:30:00,1.02279,1.02405,1.02245,1.02377,3646,5,0
2022-08-01 10:45:00,1.02378,1.02396,1.02265,1.02297,3198,5,0
2022-08-01 11:00:00,1.02298,1.02462,1.02269,1.02446,3394,5,0
2022-08-01 11:15:00,1.02445,1.02445,1.02334,1.02395,2344,5,0
2022-08-01 11:30:00,1.02395,1.02675,1.02395,1.02588,4366,5,0
2022-08-01 11:45:00,1.02587,1.02617,1.02488,1.02556,2869,5,0
2022-08-01 12:00:00,1.02556,1.02646,1.02514,1.02547,3278,5,0
2022-08-01 12:15:00,1.02549,1.02608,1.02519,1.0256,2274,5,0
2022-08-01 12:30:00,1.02559,1.027,1.02557,1.02665,2660,5,0
2022-08-01 12:45:00,1.02665,1.02698,1.02555,1.02637,2494,5,0
2022-08-01 13:00:00,1.02638,1.02674,1.02565,1.02572,2078,5,0
2022-08-01 13:15:00,1.02573,1.0261,1.02533,1.02576,2052,5,0
2022-08-01 13:30:00,1.02575,1.02625,1.02461,1.02469,1977,5,0
2022-08-01 13:45:00,1.02469,1.02575,1.02461,1.02516,2229,5,0
2022-08-01 14:00:00,1.02516,1.02542,1.02456,1.0247,2300,5,0
2022-08-01 14:15:00,1.0247,1.02472,1.02346,1.02426,2759,5,0
2022-08-01 14:30:00,1.02426,1.02466,1.02382,1.02385,2135,5,0
2022-08-01 14:45:00,1.02385,1.02417,1.02287,1.02329,3237,5,0
2022-08-01 15:00:00,1.02329,1.02359,1.02247,1.02326,2750,5,0
2022-08-01 15:15:00,1.02325,1.02409,1.02307,1.02317,3212,5,0
2022-08-01 15:30:00,1.02318,1.02383,1.02275,1.02365,2704,5,0
2022-08-01 15:45:00,1.02364,1.02406,1.02268,1.02358,3230,3,0
2022-08-01 16:00:00,1.02358,1.02608,1.02265,1.02573,5165,5,0
2022-08-01 16:15:00,1.02572,1.02624,1.02469,1.02493,3537,5,0
2022-08-01 16:30:00,1.02493,1.02516,1.02397,1.02496,4100,5,0
2022-08-01 16:45:00,1.02496,1.02568,1.02451,1.02539,4278,5,0
2022-08-01 17:00:00,1.02539,1.02657,1.02329,1.02631,11666,5,0
2022-08-01 17:15:00,1.0263,1.02707,1.02563,1.02604,5534,5,0
2022-08-01 17:30:00,1.02604,1.02689,1.0258,1.02688,4362,5,0
2022-08-01 17:45:00,1.02687,1.02747,1.02673,1.02726,4301,5,0
2022-08-01 18:00:00,1.02725,1.02747,1.02664,1.02718,2630,5,0
2022-08-01 18:15:00,1.02717,1.0274,1.02687,1.02722,2391,5,0
2022-08-01 18:30:00,1.02722,1.02752,1.02709,1.02743,1337,5,0
2022-08-01 18:45:00,1.02742,1.02751,1.02664,1.02681,1518,5,0
2022-08-01 19:00:00,1.02681,1.02734,1.0268,1.02713,1732,5,0
2022-08-01 19:15:00,1.02713,1.02739,1.02624,1.02646,1408,5,0
2022-08-01 19:30:00,1.02646,1.02687,1.02627,1.02674,1214,5,0
2022-08-01 19:45:00,1.02673,1.0275,1.02673,1.02738,1116,5,0
2022-08-01 20:00:00,1.02738,1.02741,1.02632,1.02643,1435,5,0
2022-08-01 20:15:00,1.02643,1.02652,1.02563,1.02568,1513,5,0
